date,ICUCapacity,ICUCovidPatients,VentCapacity,VentCovidPatients,ICUAvailable,VentsAvailable,TotalBeds,TotalBedsAvailable,TotalBedsUsed,PctHospitalBedsAvailable,AdultICUCapacity,ICUOpenBeds,ICUBedsUsed,ICUOpenBedsPct,COVIDPUIPatients,COVIDPUIPatientsPct,COVIDPUIPatientsBedsInUsePct,VentilatorCapacity,VentilatorsOpen,VentilatorsOpenPct,VentilatorsInUse,VentilatorsInUseCOVID,VentilatorsCOVIDPatientsPct,VentilatorsCOVIDPatientsInUsePct,CovidPatientsNonICU,TotalCOVIDPUIInICU,TotalCOVIDPUIInHospital,PctBedsCOVIDPUI,MedSurgBeds,MedSurgBedsOpen,MedSurgBedsOpenPct,MedSurgBedsInUse
2020-11-02,3780,755,5692,326,1351,4304,35048,12388,22660,35%,3780,1351,2429,36%,755,20%,31%,5692,4304,76%,1388,326,6%,23%,2839,755,3594,16%,18694,5920,32%,12774
2020-11-03,3770,776,5699,327,1253,4273,35032,11665,23367,33%,3770,1253,2517,33%,776,21%,31%,5699,4273,75%,1426,327,6%,23%,2985,776,3761,16%,18686,5427,29%,13259
2020-11-04,3770,772,5710,343,1196,4199,35040,11019,24021,31%,3770,1196,2574,32%,772,20%,30%,5710,4199,74%,1511,343,6%,23%,3119,772,3891,16%,18703,5016,27%,13687
2020-11-05,3773,786,5713,339,1206,4248,35095,10906,24189,31%,3773,1206,2567,32%,786,21%,31%,5713,4248,74%,1465,339,6%,23%,3304,786,4090,17%,18744,4899,26%,13845
2020-11-06,3773,813,5718,367,1216,4247,35104,10784,24320,31%,3773,1216,2557,32%,813,22%,32%,5718,4247,74%,1471,367,6%,25%,3437,813,4250,17%,18745,4913,26%,13832
2020-11-07,3777,833,5724,368,1207,4292,35097,11386,23711,32%,3777,1207,2570,32%,833,22%,32%,5724,4292,75%,1432,368,6%,26%,3470,833,4303,18%,18747,5360,29%,13387
2020-11-08,3777,857,5731,376,1258,4193,35098,11591,23507,33%,3777,1258,2519,33%,857,23%,34%,5731,4193,73%,1538,376,7%,24%,3552,857,4409,19%,18744,5521,29%,13223
2020-11-09,3777,911,5743,399,1235,4131,35099,10754,24345,31%,3777,1235,2542,33%,911,24%,36%,5743,4131,72%,1612,399,7%,25%,3831,911,4742,19%,18737,4999,27%,13738
2020-11-10,3766,951,5755,404,1089,4192,34984,9448,25536,27%,3766,1089,2677,29%,951,25%,36%,5755,4192,73%,1563,404,7%,26%,4091,951,5042,20%,18631,4291,23%,14340
2020-11-11,3764,956,5759,438,1080,4152,35024,9402,25622,27%,3764,1080,2684,29%,956,25%,36%,5759,4152,72%,1607,438,8%,27%,4302,956,5258,21%,18660,4200,23%,14460
2020-11-12,3765,990,5720,488,1072,4132,34984,9932,25052,28%,3765,1072,2693,28%,990,26%,37%,5720,4132,72%,1588,488,9%,31%,4372,990,5362,21%,18636,4578,25%,14058
2020-11-13,3764,1018,5713,499,1144,4065,35019,10529,24490,30%,3764,1144,2620,30%,1018,27%,39%,5713,4065,71%,1648,499,9%,30%,4397,1018,5415,22%,18641,4910,26%,13731
2020-11-14,3762,1045,5724,490,1191,4152,34973,11058,23915,32%,3762,1191,2571,32%,1045,28%,41%,5724,4152,73%,1572,490,9%,31%,4429,1045,5474,23%,18625,5201,28%,13424
2020-11-15,3753,1144,5722,514,1237,4159,34913,11237,23676,32%,3753,1237,2516,33%,1144,30%,45%,5722,4159,73%,1563,514,9%,33%,4437,1144,5581,24%,18588,5306,29%,13282
2020-11-16,3763,1158,5735,545,1200,4051,34874,11208,23666,32%,3763,1200,2563,32%,1158,31%,45%,5735,4051,71%,1684,545,10%,32%,4729,1158,5887,25%,18572,5301,29%,13271
2020-11-17,3764,1146,5738,547,1135,4036,34957,10423,24534,30%,3764,1135,2629,30%,1146,30%,44%,5738,4036,70%,1702,547,10%,32%,4807,1146,5953,24%,18616,4795,26%,13821
2020-11-18,3747,1192,5673,587,1113,4020,34898,10232,24666,29%,3747,1113,2634,30%,1192,32%,45%,5673,4020,71%,1653,587,10%,36%,4845,1192,6037,24%,18556,4635,25%,13921
2020-11-19,3313,1196,5657,604,618,3984,32862,8132,24730,25%,3313,618,2695,19%,1196,36%,44%,5657,3984,70%,1673,604,11%,36%,4915,1196,6111,25%,17202,3553,21%,13649
2020-11-20,3295,1173,5679,595,673,3892,32581,8320,24261,26%,3295,673,2622,20%,1173,36%,45%,5679,3892,69%,1787,595,10%,33%,5002,1173,6175,25%,16986,3817,22%,13169
2020-11-21,3325,1179,5693,589,727,4009,32594,9196,23398,28%,3325,727,2598,22%,1179,35%,45%,5693,4009,70%,1684,589,10%,35%,4893,1179,6072,26%,16958,4151,24%,12807
2020-11-22,3325,1206,5695,635,759,3933,32799,9373,23426,29%,3325,759,2566,23%,1206,36%,47%,5695,3933,69%,1762,635,11%,36%,4965,1206,6171,26%,17153,4086,24%,13067
2020-11-23,3287,1203,5665,668,696,3871,32443,8381,24062,26%,3287,696,2591,21%,1203,37%,46%,5665,3871,68%,1794,668,12%,37%,4931,1203,6134,25%,16841,3561,21%,13280
2020-11-24,3315,1208,5665,679,684,3883,32677,8284,24393,25%,3315,684,2631,21%,1208,36%,46%,5665,3883,69%,1782,679,12%,38%,4925,1208,6133,25%,16928,3607,21%,13321
2020-11-25,3315,1224,5665,724,661,3886,32614,8550,24064,26%,3315,661,2654,20%,1224,37%,46%,5665,3886,69%,1779,724,13%,41%,4808,1224,6032,25%,16944,3740,22%,13204
2020-11-26,3316,1215,5665,698,735,3953,32616,9868,22748,30%,3316,735,2581,22%,1215,37%,47%,5665,3953,70%,1712,698,12%,41%,4614,1215,5829,26%,16953,4304,25%,12649
2020-11-27,3313,1211,5666,686,704,3918,32658,9353,23305,29%,3313,704,2609,21%,1211,37%,46%,5666,3918,69%,1748,686,12%,39%,4564,1211,5775,25%,16946,4364,26%,12582
2020-11-28,3282,1185,5657,723,785,3935,32641,9407,23234,29%,3282,785,2497,24%,1185,36%,47%,5657,3935,70%,1722,723,13%,42%,4673,1185,5858,25%,16947,4197,25%,12750
2020-11-29,3306,1217,5656,715,744,3969,32717,9189,23528,28%,3306,744,2562,23%,1217,37%,48%,5656,3969,70%,1687,715,13%,42%,4632,1217,5849,25%,16949,4053,24%,12896
2020-11-30,3307,1195,5650,721,687,3766,32716,8161,24555,25%,3307,687,2620,21%,1195,36%,46%,5650,3766,67%,1884,721,13%,38%,4640,1195,5835,24%,16965,3523,21%,13442
